threads,engine,wall_med,wall_max,pp_med,pp_max,tg_med,tg_max,pp_ratio_pct,tg_ratio_pct,pp_samples,tg_samples,wall_samples
1,sub0llm,81.5,86.0,1.90,1.92,1.50,1.54,43.1,116.8,1.91;1.75;1.92;1.87;1.92;1.89,1.50;1.44;1.49;1.46;1.54;1.52,81.4;86.0;81.5;83.2;79.9;81.2
1,llama,70.1,72.0,4.41,4.71,1.28,1.37,-,-,4.45;4.19;4.53;4.36;4.12;4.71,1.26;1.26;1.27;1.32;1.29;1.37,70.4;72.0;69.9;69.2;70.2;66.3
2,sub0llm,55.8,56.8,3.33,3.39,2.18,2.20,42.5,117.2,3.30;3.34;3.29;3.37;3.32;3.39,2.17;2.17;2.10;2.20;2.19;2.20,56.0;55.9;56.8;55.6;55.4;55.0
2,llama,47.7,48.4,7.83,8.25,1.86,1.89,-,-,8.25;7.61;7.80;7.48;7.89;7.87,1.86;1.86;1.83;1.84;1.86;1.89,47.0;48.0;48.1;48.4;47.4;47.0
3,sub0llm,41.7,41.9,4.78,4.89,3.16,3.20,45.9,123.0,4.70;4.89;4.76;4.86;4.79;4.77,3.12;3.16;3.12;3.20;3.17;3.16,41.9;41.6;41.9;41.2;41.3;41.7
3,llama,36.0,38.1,10.42,11.38,2.57,2.70,-,-,11.38;10.98;10.45;10.39;9.94;10.18,2.57;2.57;2.36;2.57;2.58;2.70,35.3;35.7;38.1;36.2;36.2;34.9
4,sub0llm,36.2,39.0,6.00,6.11,3.77,3.82,50.7,119.7,6.01;6.11;5.84;6.00;6.07;5.97,3.70;3.82;3.61;3.72;3.82;3.81,36.8;35.8;39.0;36.5;35.6;36.0
4,llama,30.7,33.6,11.85,13.77,3.15,3.21,-,-,11.51;10.47;10.49;13.77;12.19;12.54,3.10;3.21;2.89;3.14;3.18;3.15,31.2;31.0;33.6;29.8;30.2;30.4
5,sub0llm,33.5,42.0,6.79,7.08,4.16,4.24,54.4,112.1,6.77;7.08;5.96;6.82;6.90;6.77,4.08;4.22;3.34;4.10;4.23;4.24,34.2;33.0;42.0;33.7;33.0;33.3
5,llama,27.4,28.9,12.49,14.24,3.71,3.81,-,-,12.88;11.19;12.10;14.24;11.43;13.09,3.74;3.74;3.46;3.57;3.81;3.68,27.0;27.7;28.9;27.7;27.1;27.2
6,sub0llm,31.9,34.4,7.75,7.95,4.30,4.32,62.2,105.4,7.47;7.84;7.79;7.72;7.71;7.95,4.18;4.29;4.05;4.32;4.32;4.32,32.6;32.0;34.4;31.9;31.8;31.7
6,llama,25.6,28.4,12.46,14.52,4.08,4.19,-,-,12.29;12.38;14.52;13.04;12.54;11.38,4.04;4.11;3.54;4.06;4.13;4.19,25.5;25.7;28.4;25.5;25.6;25.5
7,sub0llm,30.6,33.5,8.64,8.80,4.52,4.58,65.9,105.5,8.28;8.80;8.57;8.60;8.72;8.68,4.42;4.55;4.41;4.48;4.58;4.58,30.8;30.4;33.5;30.8;30.2;30.1
